title,link,authors,journal,location,population,intervention,outcomes-bf,outcomes-behavior,outcomes-health,design,sampling,soe,smbc
"Assessment of the scale, coverage and outcomes of the Avahan HIV prevention program for female sex workers in Tamil Nadu, India: is there evidence of an effect?",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3287556/,"Thilakavathi S, Boopathi K, Girish Kumar CP, Santhakumar A, Senthilkumar R, Eswaramurthy C, Ilaya Bharathy V, Ramakrishnan L, Thongamba G, Adhikary R, Paranjape R","BMC Public Health, 2011, 11(Suppl 6): S3","Tamil Nadu, India",FSW ,"Condom social marketing; peer-based outreach education, promotion and distributionof condoms, establishing program-linked clinics to manage sexually transmitted infections (STIs) and community mobilization","Quality of care
","Condom use

","
Decrease in HIV and STI prevalence ",Observational,Probabilty,4,"5: Behavior, Customer orientation, Insight, Segmentation, Methods mix"
Heading towards the Safer Highways: an assessment of the Avahan prevention programme among long distance truck drivers in India,http://www.biomedcentral.com/1471-2458/11/S6/S15,"Pandey A, Mishra RM, Sahu D, Benara SK, Sengupta U, Paranjape RS, Gautam A, Lenka SR, Adhikary R","BMC Public Health, 2011, 11(Suppl 6): S15-S15",India,Long distance truck drivers,"Peer educators, education, clinics",,"Condom use

","
Health: HIV and STI testing",Observational,Probability,4,"4: Behavior, Customer orientation, Segmentation, Methods mix
"
"Condom use and prevalence of syphilis and HIV among female sex workers in Andhra Pradesh, India – following a large-scale HIV prevention intervention",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3287547/,"Rachakulla HK, Kodavalla V, Rajkumar H, Prasad SPV, Kallam S, Goswami P, Dale J, Adhikary R, Paranjape R, Brahmam GNV","BMC Public Health, 2011, 11(Suppl 6): S1","Andhra Pradesh, India",FSW ,Condom  social marketing,,"Condom use

",Decrease in HIV and STI prevalence,Observational,Probabilty,4,"4: Behavior, Customer orientation, Segmentation, Methods mix
"
Increasing safer sexual behavior among Lao kathoy through an integrated social marketing approach,http://www.biomedcentral.com/1471-2458/11/872,"Longfield K, Panyanouvong X, Chen J, Kays MB","BMC Public Health, 2011, 11(872): 1-12  ",Laos,Male to female transgender & partners,Peer led IPC; condom/lube social marketing,"Improved perceptions of product availability for condoms and water-based lubricant; Knowledge about the importance of consistent condom use
","Higher levels of condom use at last anal sex with casual partners and greater use of water-based lubricant

",,Observational,Probability,4,"7: Behavior, Customer orientation, Theory, Insight, Competition, Segmentation, Method mix"
"Targeted interventions of the Avahan program and their association with intermediate outcomes among female sex workers in Maharashtra, India",http://www.biomedcentral.com/1471-2458/11/S6/S2,"Mainkar M, Pardeshi D, Dale J, Deshpane S, Khazi S, Gautam A, Goswami P, Adhikary R, Ramanathan S, George B, Paranjape R","BMC Public Health, 2011, 11(Suppl 6): S2-S2","Maharastra, India",FSW,"Peer-based outreach education, clinical services for managing STIs, promotion and distribution of condoms, community mobilization and building an enabling environment",,"Condom use

",HIV and STI incidence,Observational,Purposive,4,"4: Behavior, Customer orientation, Segmentation, Methods mix
"
HIV prevention for migrants in transit: developing and testing TRAIN,http://www.ncbi.nlm.nih.gov/pubmed/21696244,"Bahromov M, Weine S","AIDS Education and Prevention, 2011, 23(3): 267-280",Russia,Tajik male labor migrants,HIV education & awareness,"Knowledge, worry about HIV/AIDS
","
Condom use,  discussion with partner about HIV/AIDS",,Experimental,Purposive,5,"5: Behavior, Customer orientation, Theory, Insight, Segmentation

"
"Knowledge, stigma, and behavioral outcomes among antiretroviral therapy patients exposed to Nalamdana's radio and theater program in Tamil Nadu, India",http://www.ncbi.nlm.nih.gov/pubmed/21861609,"Nambiar D, Ramakrishnan V, Kumar P, Varma R, Balaji N, Rajendran J, Jhona L, Chandrasekar C, Gere D","AIDS Education and Prevention, 2011, 23(4): 351-366","Tamil Nadu, India",ARV patients,Radio-and-theater-based educational program,"Higher HIV-related knowledge , lower levels of stigma 
","Over four times the adjusted odds of asking doctors questions about HIV; greater odds of consistent condom use;  doctor-patient communication , peer advice giving and HIV-related advocacy",,Quasi-experimental,Probabilty,5,"5: Behavior, Theory, Custormer orientation, Insight, Segmentation
"
Community-based prevention leads to an increase in condom use and a reduction in sexually transmitted infections (STIs) among men who have sex with men (MSM) and female sex workers (FSW): the Frontiers Prevention Project (FPP) evaluation results,http://www.biomedcentral.com/1471-2458/10/497,"Gutierrez JP, McPherson S, Fakoya Ade, Matheou A, Bertozzi S","BMC Public Health, 2010, 10(497): 1-12  ","Andhra Pradesh, India",MSM and FSW,"Empower KP by improving advocacy within these groups, changing policies that affect these groups, and increasing community awareness. These efforts, combined with the provision of a comprehensive package of prevention interventions implemented on the appropriate scale, aimed to reduce risk-taking behaviours and STI incidence, thereby resulting in a lower HIV incidence",,"Condom use 

",Syphilis and HSV bio-marker tests,Quasi-experimental,Probabilty,5,"5: Behavior, Customer orientation, Theory, Segmentation, Methods mix
"
"Changes in sexual behaviour leading to the decline in
the prevalence of HIV in Uganda: confirmation from
multiple sources of evidence",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2602746/pdf/U9G-84-S2-0035.pdf,Kirby D,"Sexually Transmitted Infections, 2008, 84(supplement 2): ii35-ii41",Uganda,Sexually active adults,Condom social marketing,,"Abstaining from sex; extramarital sex; sex with multiple  partners; condom use

",HIV prevalence,Observational,Probabilty,3,"1: Behavior
"
Evaluation of a needle social marketing strategy to control HIV among injecting drug users in China,http://www.ncbi.nlm.nih.gov/pubmed/18172379,"Wu Z, Luo W, Sullivan SG, Rou K, Lin P, Liu W, Ming Z","AIDS, 2007, Suppl 8:S115-22",China,IDU,Needle  social  marketing,"Exposure to  intervention/coverage levels
","Needle  sharing; condom use with sexual partners; 

",HIV incidence/prevalence; HCV incidence,Experimental,Probabilty,5,"5: Behavior, Customer orientation, Insight, Segmentation, Methods mix"
"MTV's ""Staying Alive"" global campaign promoted interpersonal communication about HIV and positive beliefs about HIV prevention.",http://www.ncbi.nlm.nih.gov/pubmed/17411389,"Geary CW, Burke HM, Castelnau L, Neupane S, Sall YB, Wong E, Tucker HT","AIDS Education and Prevention, 2007, 19(1): 51-67","Kathmandu, Nepal; São Paulo, Brazil; Dakar, Senegal",16-25 year olds,Media campaign,"Beliefs, attitudes
",Communication about HIV,,Quasi-experimental , Probability,4,"3: Behavior, Customer orientation, Theory"
Assessing effects of a media campaign on HIV/AIDS awareness and prevention in Nigeria: results from the VISION Project,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1508144/,"Keating J , Meekers D, Adewuyi A","BMC Public Health, 2006, 6(123): 1-12",Nigeria,Adults,Media Campaign,"Awareness that consistent condom use reduces HIV risk
",Discussion of HIV/AIDS with a partner;  Condom use at last intercourse,,Quasi-experimental,Probabilty,5,"2: Behavior, Customer orientation"
Promoting behavior change in Botswana: an assessment of the Peer Education HIV/AIDS Prevention Program at the workplace,http://www.ncbi.nlm.nih.gov/pubmed/12857655,Hope RK ,"Journal of Health Communication, 2003, 8(3): 267-81",Botswana,Males  in the  workplace,Peer education,"Knowldege, attitudes 
","condom use, number of  seuxal partners",,Observational,Probabilty,2,"5: Behavior, Theory, Customer orientation, Insight, Segmentation"
Social marketing of pre-packaged treatment for men with urethral discharge (Clear Seven) in Uganda,http://std.sagepub.com/content/14/3/216.full.pdf,"Jacobs B, Kambugu FSK, Whitworth JAG, Ochwo M, Pool R, Lwanga A, Tifft S, Lule J, Cutler JR","International Journal of  STD & AIDS, 2003, 14: 216-221",Uganda,Men with urethral discharge,Social marketing of pre-packaged treatment for men with urethral discharge (Clear Seven),"Attitudes
","Treatment compliance, condom use

",Cure rate ,Quasi-experimental,Purposive,3,"6: Behavior, Customer orientation, Insight, Exchange, Segmentation, Methods mix
"
"A Quasi-Experimental Study to Assess the Impact of Four
Adolescent Sexual Health Interventions in Sub-Saharan Africa",http://www.guttmacher.org/pubs/journals/2806702.pdf,Agha S,"International Family Planning Perspectives, 2002, 28(2): 67-70 & 113-118",Sub-Saharan  Africa,Adolescents,Condom social  marketing,"Risk Perception, Self-efficacy 
","Condom use, multiple partnership, contraceptive use",,Quasi-experimental,Probabilty,5,"6: Behavior, Customer orientation, Theory, Insight, Segmentation, Methods mix
"
The promotin of condom use in non-regular sexual partnerships in urban Mozambique ,http://heapol.oxfordjournals.org/content/16/2/144.long,"Agha S, Karlyn A, Meekers D ","Health Policy and Planning, 2001, 16(2): 144-151",Mozambique,Men/woman 15-49 ,Condom social  marketing,"Knowledge, access
",Condom use with non regular partners,,Observational,Probabilty,4,"6: Behavior, Customer  orientation, Insight, Exchange, Segmentation, Methods mix"
The role of social marketing in sexually transmitted diseases/HIV protection in 4600 sexual contacts in urban Zimbabwe,http://www.ncbi.nlm.nih.gov/pubmed/11216945,Meekers D,"AIDS, 2001, 15(2): 285-7",Zimbabwe,Male factory workers,Condom social marketing,,Condom use,,Observational,Purposive,2,"2: Behavior, Methods mix
"
"Sexual Activity and Condom Use in Lusaka, Zambia",http://www.guttmacher.org/pubs/journals/2403298.pdf,Agha S,"International Family Planning Perspectives, 1998, 24(1): 32-37","Lusaka, Zambia",Men/women 15-49,Condom social  marketing,,Condom use at last sex,,Observational,Probability ,4,"5: Behavior, Customer orientation, Insight, Segmentation, Methods mix
"
