title,link,authors,journal,location,population,intervention,outcomes-bf,outcomes-behavior,outcomes-health,design,sampling,soe,smbc
Narrowing the treatment gap with equitable access: mid-term outcomes of a community case management program in Cameroon ,http://heapol.oxfordjournals.org/cgi/pmidlookup?view=long&pmid=23144228,"Littrell M, Moukam LV, Libite R, Youmba JC, Baugh G","Health Policy and Planning, 2013, 28 (7): 705-716",East region of Cameroon ,Households/ Children under 5 ,"Community case management for childhood ilnesses. CCM package provided
community-based diagnosis, treatment and referral for suspected
malaria with artemisinin combination therapy (ACT)
and diarrhoeal disease with ORS and zinc through community health workers (PSI)","Awareness, access and attitudes towards CHW
services among caregivers improved with intervention","Children living in intervention vs comparison
areas were significantly more likely to receive treatment
at a public health facility or through a CHW for fever  and diarrhoea

Appropriate treatment was significantly higher among children
in intervention vs comparison areas including: antimalarial
treatment for fever , ACT
for fever , ORS for
diarrhoea and zinc for
diarrhoea",,Quasi-experimental,Purposive,4,"2: Behavior, Method mix"
Evaluation of a social marketing intervention promoting oral rehydration salts in Burundi ,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3062608/,"Kassegne S, Kays MB, Nzohabonayo J","BMC Public Health, 2011, 11 (155): 1-13",Burundi ,"Females of reproductive age/ 30 households from each of the 115 ""collines"" in Burundi ",PSI led this Social marketing intervention to promote the use of ORASEL for children under five. Campaign included mass media promotion and community outreach ,Positive changes in behavioral determinants associated with ORASEL use                                                                                                                                  ,ORASEL use among caregivers at their children’s last diarrheal episode increased significantly from 20% in 2006 to 30% in 2007. ,,Observational,Probability,4,"5:Behavior Customer orientation, Insight, Theory, Mixed methods, "
National Scale-up of Zinc Promotion in Nepal: Results from a Post-project Population-based Survey ,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3131121/,"Wang W, MacDonald VM, Paudel M, Banke KK","Journal of Health, Population, and Nutrition, 2011, 29 (3): 207-217",30 focus districts in Nepal ,Households/Households surveys with children under 6 years of age,"The Social Marketing Plus for Diarrhoeal Disease Control: Point of Use Water
Disinfection and Zinc Treatment (POUZN) project; Survey regarding knowledge and beliefs about zinc treatment after tha airing of a national mass-media campaign ","Over half (53.1%) of all
caregivers (n=3,550) interviewed had heard about zinc products; most (97.1%) of those who had heard of zinc knew that zinc should be used for the treatment of diarrhoea. ","At follow-up,  the majority (67.5%) of children (n=289), aged less than six years, with diarrhoea were treated with ORS, and 15.4% were treated with zinc. Children whose caregivers recalled the mass-media message that zinc should be used for 10 days and whose caregivers perceived that zinc is easy to obtain were more likely to be treated with zinc for 10 days, along with ORS",,Observational,Probability,4,"5: Behavior, Theory, Customer orientation, Insight Mixed methods"
"Determinants of Use of Household-level Water Chlorination Products in Rural Kenya, 2003-2005",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996196/,"DuBois AE, Crump JA, Keswick BH, Slutsker L, Quick RE, Vulule JM, Luby SP","International Journal of Environmental Research and Public Health, 2010, 7 (10): 3842-3852 ","Nyanza Province, Kenya ","Users and non-user controls of a new household water treatment product regarding drinking water and socioeconomic factors from 10 Villages with 1,452 compounds ",Use of socially marketed household water treatment systems: flocculent-disinfectant and sodium hypochlorite,,"Reports of ever using the sodium hypochlorite solution ranged from 21% to 59%, while rates of use in the past 7 days ranged from 7% to 27%",,Observational,Probability,4,"5: Behavior, Customer orientation, Segmentation, Exchange, Method mix"
"Shame or subsidy revisited: social mobilization for sanitation
in Orissa, India",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2733281/,"Pattanayak SK,
Yang J,Dickinson KL, Poulos C, Patil SR, Mallick RK, Blitstein JL, 
Praharaj P","Bulletin of the World Health Organization, 2009,87:580–587",India,Households,Intensive IEC campaign that used social marketing strategies and  community led total sanitation,,"Latrine ownership did not increase in control villages, but in treatment villages it rose from 6% to 32% in the overall sample,
from 5% to 36% in households below the poverty line  and from 7% to 26% in households above
the poverty line ",,Experimental,Probability,6,"7: Behavior, Customer orientation, Insight, Exchange, Competition, Segmentation, Methods mix"
Increasing equity of access to point-of-use water treatment products through social marketing and entrepreneurship: a case study in western Kenya,http://web.ebscohost.com.proxygw.wrlc.org/ehost/detail?sid=c4cbb144-a0f9-485a-9593-f4d645dce3bc%40sessionmgr111&vid=1&hid=124&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#db=a9h&AN=44231895,"Freeman MC, Quick RE, Abbott DP, Ogutu P, Rheingans R","Journal of Water & Health, 2009, 7 (3): 527-534","Nyanza Province, Kenya ",487 randomly selected households in eight communities served by the women’s groups,"Safe Water System is a simple, inexpensive, point-of-use (POU) household water quality intervention using: 1) locally produced sodium hypochlorite
solution for water treatment; 2) safe storage with containers
with a narrow mouth, tight fitting lid and tap; and 3) behaviour change communications; women’s groups in western Kenya were trained to
educate neighbours and sell health products to generate income (PSI)",Knowledge of water treatment products was high,"20% (range 5–39%) of households in eight communities purchased and used chlorine, as confirmed by residual chlorine observed in stored water",,Observational,Probability,4,"X: Exchange, Method mix"
"Diarrhoea prevention in a high-risk rural Kenyan population through point-of-use chlorination, safe water storage, sanitation ",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2870746/?tool=pmcentrez&report=abstract,"Garrett V, Ogutu P, Mabonga P, Ombeki S, Mwaki A, Aluoch G, Phelan M, Quick RE ","Epidemiology and Infection, 2008, 136 (11): 1463-1471","Nyanza Province, Kenya ","Comparison of
diarrhoea rates in 960 children aged <5 years in 556 households in 12 randomly selected
intervention villages and six randomly selected comparison villages during weekly home visits
over an 8-week period",Social Marketing to promote the Safe Water System (SWS) in collaboration with CARE Kenya's program to provide latrines and rainwater collection ,,"Intervention households were also more likely to have residual chlorine in their stored water (43%of visits vs. 0%) and to possess a
latrine (49% of visits vs. 27%)","On multivariate analysis, chlorinating stored water [relative risk (RR)0.44, 95% confidence interval (CI) 0.28–0.69], latrine presence (RR 0.71, 95% CI 0.54–0.92), rainwater use (RR 0.70, 95% CI 0.52–0.95), and living in an intervention village (RR 0.31, 95%CI 0.23–0.41), were independently associated with lower diarrhoea risk",Quasi-experimental,Probability,5,"4: Behavior, Exchange, Insight, Methods mix"
Bringing Safe Water to Remote Populations: An Evaluation of a Portable Point-of-Use Intervention in Rural Madagascar ,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1805013/,"Ram PK, Kelsey E, R, Miarintsoa RR, Rakotomalala O, Dunston C, Quick RE","American Journal of Public Health, 2007, 97 (3): 398-400","Tamatave Province, Madagascar ",Respondents from 242 households in 4 villages were interviewed ,Social marketing campaign to promote SWS and SurEau water disinfectant. Campaign used community based sales agents. ,"Respondents from 239 households (99%) had heard of Sûr’Eau, the SWS disinfectant","226 (95%) reported having ever used Sûr’Eau, and 166 (73%) reported current use. Current Sûr’Eau use was confirmed
in 54% of households.",,Observational,Probability,3,"3: Behavior, Exchange, Methods mix"
"Sustained High Levels of Stored Drinking Water Treatment and Retention of Hand-Washing
Knowledge in Rural Kenyan Households following a Clinic-Based Intervention",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2870483/,"Parker AA, Stephenson R, Riley PL, Ombeki S, Komolleh C, Sibley L, Quick R","Epidemiology and Infection, 2006, 134 (5):  1029-1036","Homa Bay, Kenya",Clinic clients,"Nurses in a maternal and child health clinic were
trained in household water chlorination with a locally available, social marketed product, and in
six steps of proper hand washing. Nurses initiated client education
sessions on the SWS, hand-washing techniques, and
diarrhoea prevention messages at the MCH clinic",,"After 2 weeks, free chlorine residuals were present in stored drinking water in 68 % of clients' homes and, 1 year later, in 71 % clients' homes. After 2 weeks, all six hand-washing steps were correctly demonstrated by 44 % of  clients, and by 34 % 1 year
later.",,Observational,Probability,4,"3: Behavior, Segmentation, Methods mix"
Acceptability of and Adherence to Dispersible Zinc Tablet in the Treatment of Acute Childhood Diarrhoea ,http://www.jhpn.net/index.php/jhpn/article/view/330,"Nasrin D, Larson, CP, Sultana S, Khan, TU","Journal of Health, Population, and Nutrition, 2005, 23 (3): 215-221","4 sub-districts in Dhaka, Bangladesh ",Children between the ages of 3 and 59 months and their caretakers ,Distribution and sales of zinc tablets by a social marketing firm ,The formulation was acceptable to children; 90.1% of 303 caretakers perceived that the tablets were equally or even more acceptable to their children compared to other medicines.,"Ninety-eight percent of the children received the standard dose of one tablet per day, 55.8% completed the full 10-day course of zinc treatment",,Observational,Purposive,3,1: Methods mix
