title,link,authors,journal,location,population,intervention,outcomes-bf,outcomes-behavior,outcomes-health,design,sampling,soe,smbc
Narrowing the treatment gap with equitable access: mid-term outcomes of a community case management program in Cameroon ,http://heapol.oxfordjournals.org/cgi/pmidlookup?view=long&pmid=23144228,"Littrell M, Moukam LV, Libite R, Youmba JC, Baugh G","Health Policy and Planning, 2013, 28(7): 705-716",East region of Cameroon ,Households/ Children under 5 ,"Community case management for childhood ilnesses. CCM package provided
community-based diagnosis, treatment and referral for suspected
malaria with artemisinin combination therapy (ACT)
and diarrhoeal disease with ORS and zinc through community health workers (PSI)","Awareness, access and attitudes towards CHW
services among caregivers improved with intervention

","Children living in intervention vs comparison
areas were significantly more likely to receive treatment
at a public health facility or through a CHW for fever  and diarrhoea

Appropriate treatment was significantly higher among children
in intervention vs comparison areas including: antimalarial
treatment for fever , ACT
for fever , ORS for
diarrhoea and zinc for
diarrhoea",,Quasi-experimental,Purposive,4,"1: Behavior, Method mix"
"Improvements in access to malaria treatment in Tanzania following community, retail sector and health facility interventions -- a user perspective",http://www.malariajournal.com/content/9/1/163/,"Alba S, Dillip A, Hetzel MW, Mayumana I, Mshana C, Makemba A, Alexander M, Obrist B, Schulze A, Kessy F, Mshinda H, Lengeler C","Malaria Journal, 2010, 9(163): 1-16","Ifakara, Tanzania",Treatment-seeking surveys of people who had suffered a fever case in  the previous 14 days,Social Marketing for improved treatment seeking,"Improvements in understanding causes of malaria (from 62% to 84%); higher treatment coverage
with anti-malarials (86% to 96%)",Increases in health facility attendance as first treatment option for patients older than five years (27% to 52%);  more timely use of anti-malarials (80% to 93-97% treatments taken within 24 hrs).,,Observational,Probability,4,"3: Behavior, Segmentation, Methods mix"
"Household ownership and use of insecticide treated nets among target groups after implementation of a national voucher programme in the United Republic of Tanzania:
plausibility study using three annual cross sectional household surveys",http://www.bmj.com/content/339/bmj.b2434,"Hanson K, Marchant T, Nathan R, Mponda H, Jones C, Bruce J, Mshinda H, Schellenberg JA","British Medical Journal, 2009, 339: 1-10 ",Tanzania,Household survey,Social marketing combined with the National Voucher Scheme targeting mothers of young children at antenatal clinics,ITN ownership increased from 18% to 36%,"Among infants under 1 year of age, use of an ITN increased from 16% to 34%",,Observational,Probability,4,"3: Exchange, Segmentation, Methods mix"
Access to artemisinin combination therapy for malaria in remote areas of Cambodia,http://www.malariajournal.com/content/7/1/96,"Yeung S, Van Damme W, Socheat D, White NJ, Mills A","Malaria Journal, 2008, 7(96): 1-14 ",Cambodia,"Individuals with a  history of  fever in the last three weeks in areas with village  malaria workers (VMWs), outreach clinics, and in areas with no  intervention","Social marketing of
blister-packaged artesunate and mefloquine (Malarine ®)
and RDTs  through VMWs and outreach",,"Only
17% of individuals in non-intervention areas reported having had a biological diagnosis for their most recent episode of illness. This was significantly higher in the areas with VMWs (63%) and outreach (35%);  VMWs and outreach workers reported always using RDTs. In contrast, only 15%  of tests at
private health facilities and 69%  public health facilities were by RDT; VMW scheme and outreach significantly increased the likelihood of being seen by a trained provider (Adjusted
Odds Ratios (AOR) of 148 and 4 respectively) and of receiving A+M (AORs of 2.7 and 7.7 respectively).",,Quasi-experimental,Probability,5,"6: Behavior, Customer orientation, Insight, Competition, Segmentation,  Methods mix"
"Distribution Systems of Insecticide-Treated Bed Nets for
Malaria Control in Rural Burkina Faso: Cluster-
Randomized Controlled Trial",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2527521/,"Müller O, De Allegri M, Becher H, Tiendrebogo J, Beiersmann C, Ye M, Kouyate B, Sie A, Jahn A","PLoS ONE, 2008, 3(9): e3182",Burkina Faso,Households,"
Subsidized ITN distribution through social marketing with or without free ITN distribution (free distribution took place through antenatal clinics)",ITN ownership increased in SM with free distribution areas more than in SM only areas from  baseline  to  follow-up,Increases in Bednet use in previous night was similarly higher in both groups from baseline to follow-up; use among pregnant women and children under five increased in SM with free distribution from   44% to 50% and in SM only from 37% to 44%.,,Experimental,Probability,6,"3: Behavior, Segmentation, Methods Mix"
"Effect of expanded insecticide-treated bednet coverage on child survival in
rural Kenya: a longitudinal study",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)61477-9/abstract,"Fegan GW, Noor AM, Akhwale WS, Cousens S, Snow RW","Lancet, 2007, 370(9592): 1035–1039",Kenya,Children aged 1–59 months,Combined approach of social marketing and free distribution of ITNs,,"Increase in ITN use by children aged less than 5 years from 7% in 2004, to 23·5% in
2005, to 67% in 2006","ITN use
was associated with a 44% reduction in mortality",Observational,Probability,4,0
"Sustained high coverage of insecticide-treated bednets through
combined Catch-up and Keep-up strategies",http://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2007.01862.x/abstract,"Grabowsky M, Nobiya T, Selanikio J","Tropical Medicine and International Health, 2007, 12(7): 815–822",Ghana,Households with at least one child less than 5 years of age,"Mass, free distribution (Catch-up) of insecticide-treated bednets (ITNs) during measles
vaccination campaigns, followed by antenatal clinic-based social marketing for routine Keep-up on ITN coverage and use","95.7% of children slept in a household that had a net, 86.1% slept in a household that had a campaign
net",59.6% of children slept under an ITN,,Observational,Probability,4,"4: Behavior, Exchange, Segmentation, Method mix"
Increasing coverage and decreasing inequity in insecticide-treated bed net use among rural Kenyan children,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1949846/,"Noor AM, Amin AA, Akhwale WS, Snow RW","PLoS medicine, 2007, 4(8): e255","Bondo, Greater Kisii, Kwale, and Makueni Districts, Kenya",Children age 0-4 years,At baseline only commercial social marketing (PSI) was in place.  Heavily subsidized MCH clinic distribution (PSI) and free distribution were  implemented during the  course of the study,,"At baseline only 7% of  children slept under a net treated with insecticide within 6 months the night before the survey. At 12 months, this increased to  23% and at 24 months this  increased to  67% with the  majority of ITNs obtained via free distribution and heavily subsidized distribution  at MCH clinics",,Observational,Probability,4,"4: Exchange, Competition, Segmentation, Methods mix"
"The effect of delivery mechanisms on the  uptake of bed net re-impregnation in Kilifi District, Kenya",http://heapol.oxfordjournals.org/content/14/1/18.long,"Snow RW, McCabe E, Mbogo CN, Molyneux CS, Some ES, Mung'ala VO, Nevill CG","Health Policy and Planning, 2007, 14(1):18-25","Kilifi District, Kenya",Households,"Retreatment of ITNS was initially offered for free house-to-house, then free at sentinel sites, and then through social marketing and sales",,Net re-impregnation coverage decreased from 97% during free house-to-house delivery to 61-67% when free re-treatment moved to sentinel sites to 7% after the social marketing model was implemented,,Experimental,Probability,5,"3: Behavior, Exchange, Methods mix"
"The impact of a hybrid social marketing intervention on inequities in access, ownership and use of insecticide-treated nets",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1794246/,"Agha S, Van Rossem R, Stallworthy G, Kusanthan T","Malaria Journal, 2007, 6(13): 1-11","Eastern Province, Zambia",Household survey; Men and women ages 15-49 ,"ITN subsidy  and social marketing intervention  to increase knowledge,  access, and use of ITNs as part of the  Roll Back Malaria Campain. Distribution was through public health facilities.","Knowledge of malaria and ITNs, access to ITNs, beliefs about malaria protection, ownership (number of ITNs in  the household)  ",Usage of  ITNs (respondent usually sleeps under a net),,Quasi-experimental,Probability,5,"7: Customer orientation, Behavior, Insight, Exchange, Competition, Segmentation, Methods  mix"
"The  use of Insecticide-Treated bed Net in a semi-urban community in  south-south, Nigeria",http://www.ncbi.nlm.nih.gov/pubmed/17937157,Ordinioha B,"Nigerian Journal  of Medicine, 2007, 16(3): 223-226",South-south Nigeria,Households,Social marketing of ITNs,,"Of 311 ITNs sold through the  project, 18.28% were properly deployed during monitoring visit; 79.59% of properly deployed nets were  occupied by children under five",,Observational,Purposive,3,"3: Behavior, Segmentation, Method mix"
"Comparison of coverage with insecticide-treated nets in a
Tanzanian town and villages where nets and insecticide are either
marketed or provided free of charge",http://www.malariajournal.com/content/5/1/44/,"Maxwell CA, Rwegoshora RT,  Magesa SM, Curtis CF","Malaria Journal, 2006, 5(44): 1-6 ",North-east Tanzania,Household survey; Men and women,Social marketing of ITNs and insecticide,"% of households that purchased a net, % of households with  intact treated nexts",% of households reporting usage in urban and rural areas that had social marketing were compared to areas with free distribution,,Observational,Purposive,2,0
Socially marketed insecticide-treated nets effectively reduce Plasmodium infection and anaemia among children in urban Malawi,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2006.01684.x/abstract,"Mathanga DP, Campbell CH, Taylor TE, Barlow R, Wilson ML","Tropical Medicine and International Health, 2006, 11(9): 1367-1374","Ndirande, Blantyre, Malawi",Children age  6-59 months,ITN social marketing (PSI),Knowledge of ITNs,42% of children reported ITN use the previous night,"17% (295/1721) of children had a positive P. falciparum smear at enrolment. Use of ITNs was associated with 52% protective efficacy against Plasmodium
parasitemia. More than two-thirds of children were anaemic, yet the mean haemoglobin concentration
was significantly higher in children using ITNs than in those not using nets.",Observational,Probability,4,"2: Segmentation, Methods mix"
