title,link,authors,journal,location,population,intervention,outcomes,design,sampling,soe,smbc
Impact of malaria morbidity of a programme supplying insecticide treated nets in children aged under 2 years in Tanzania: Community cross sectional study,http://www.bmj.com/content/322/7281/270,"Abdulla, S. et al. (2001)","British Medical Journal, 322: 270-273",Tanzania,Children under  age  2,Social marketing of ITNs and insecticide,"Behavioral factors: Net ownership of treated nets increased 10% to 61%

Health: Prevalence  of parasitemia and haemoglobin levels; prevalence  of anemia  decreased from  49% to 26%; Treated nets had a protective efficacy of 62% on prevalence of parasitaemia and of 63% on anaemia.",Observational,Probability,4,1: Methods mix
Spatial effects of the social marketing of insecticide-treated nets on malaria morbidity,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2004.01354.x/abstract,"Abdulla, S. et al. (2005)","Tropical Medicine and International Health, 10 (1):  11–18.",Tanzania,Households,Social marketing of ITNs,"Behavioral factors: Coverage, distribution pattern and resultant spatial effects

Behaviors: Percent of children using a treated net

Health: Prevalence of parasitaemia, mild anaemia (Hb <11 g/dl) and moderate/severe anaemia (Hb <8 g/dl) in children under five; children living in areas of moderately high ITN coverage were
about half as likely to have moderate/severe anaemia",Observational,Probability,4,0
"The impact of a hybrid social marketing intervention on inequities in access, ownership and use of insecticide-treated nets",http://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2004.01354.x/abstract;jsessionid=A7B9D43F0D2CED9DEFABAF59DD21D9BC.f02t02,"Agha, S.; Van Rossem, R.;
Stallworthy, G.; and Kusanthan, T. (2007)","Malaria Journal,  6(13)","Eastern Province, Zambia",Household survey; Men and women ages 15-49 ,"ITN subsidy  and social marketing intervention  to increase knowledge,  access, and use of ITNs as part of the  Roll Back Malaria Campain. Distribution was through public health facilities.","Behavioral factors: Knowledge of malaria and ITNs, access to ITNs, beliefs about malaria protection, ownership (number of ITNs in  the household)  

Behaviors: Usage of  ITNs (respondent usually sleeps under a net)",Quasi-experimental,Probability,5,"7: Customer orientation, Behavior, Insight, Exchange, Competition, Segmentation, Methods  mix"
"Improvements in access to malaria treatment in Tanzania following community, retail sector and health facility interventions -- a user perspective",http://www.malariajournal.com/content/9/1/163/,"Alba, S. et al. (2010)","Malaria Journal, 9(163)","Ifakara, Tanzania",Treatment-seeking surveys of people who had suffered a fever case in  the previous 14 days,Social Marketing for improved treatment seeking,"Behavioral factors: Improvements in understanding causes of malaria (from 62% to 84%); higher treatment coverage
with anti-malarials (86% to 96%)

Behavior:  Increases in health facility attendance as first treatment option for patients older than five years (27% to 52%);  more timely use of anti-malarials (80% to 93-97% treatments taken within 24 hrs).",Observational,Probability,4,"3: Behavior, Segmentation, Methods mix"
Lessons learned from bednet distribution in Central Mozambique,http://heapol.oxfordjournals.org/content/22/2/103.long,"Brentlinger, P.E. (2007)","Health Policy Plan, 22(2):103-10","Sofala and Manica, Central Mozambique",Household survey,Commericial shopkeeepers and community leaders were trained to  promote/sell ITNs in 19 sites between 2000-2004,Behavioral factor: ITN ownership; ,Observational,Probability,3,"2:Exchange, Methods mix"
"Effect of expanded insecticide-treated bednet coverage on child survival in
rural Kenya: a longitudinal study",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)61477-9/abstract,"Fegan, G. W.;
Noor, A. M.;
Akhwale, W. S.;
Cousens, S.; and
Snow, R. W. (2007)","Lancet, 370(9592): 1035–1039",Kenya,Children aged 1–59 months,Combined approach of social marketing and free distribution of ITNs,"Behavior: Increase in ITN use by children aged less than 5 years from 7% in 2004, to 23·5% in
2005, to 67% in 2006

Health: ITN use
was associated with a 44% reduction in mortality",Observational,Probability,4,0
"Sustained high coverage of insecticide-treated bednets through
combined Catch-up and Keep-up strategies",http://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2007.01862.x/abstract,"Grabowsky, M.;
Nobiya, T.; and
Selanikio, J.","Tropical Medicine and International Health, 12 (7): 815–822",Ghana,Households with at least one child less than 5 years of age,"Mass, free distribution (Catch-up) of insecticide-treated bednets (ITNs) during measles
vaccination campaigns, followed by antenatal clinic-based social marketing for routine Keep-up on ITN coverage and use","Behavioral factors:  95.7% of children slept in a household that had a net, 86.1% slept in a household that had a campaign
net

Behavior: 59.6% of children slept under an ITN",Observational,Probability,4,"4: Behavior, Exchange, Segmentation, Method mix"
"Household ownership and use of insecticide treated nets among target groups after implementation of a national voucher programme in the United Republic of Tanzania:
plausibility study using three annual cross sectional household surveys",http://www.bmj.com/content/339/bmj.b2434,"Hanson, K et al. (2009)","British Medical Journal, 339 ",Tanzania,Household survey,Social marketing combined with the National Voucher Scheme targeting mothers of young children at antenatal clinics,"Behavioral factors: ITN ownership increased from 18% to 36%

Behavior: Among infants under 1 year of age, use of an ITN increased from 16% to 34%",Observational,Probability,4,"3: Exchange, Segmentation, Methods mix"
Cost-effectiveness of social marketing of insecticide-treated nets for malaria control in the United Republic of Tanzania ,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2572445/,"Hanson, K. et al. (2003)","Bulletin of the World Health Organization, 81 (4)","Kilombero and Ulanga districts, Tanzania ",Case-control study on child survival and demographic surveillance system,ITN and insecticide social marketing,"Behavior: ITN  coverage, measured as the proportion of children that slept under a treated net the previous night, was 14% in Ulanga and 23% in Kilombero in July and August 1999.

Health: Given the estimate of 27% for protective efficacy from the case–control study, this indicates 96 deaths averted  or 2588 DALYs averted  in 1999.",Quasi-experimental,Purposive,4,"5: Customer Orientation, Insight, Exchange, Segmentation, Method mix"
"Insecticide-treated bednet use, anaemia, and malaria parasitaemia in Blantyre District, Malawi",http://onlinelibrary.wiley.com/doi/10.1046/j.1365-3156.2002.00846.x/abstract,"Holtz, T.H. et al. (2002)","Tropical Medicine and International Health, 7 (3): 220–230","Blantyre District, Malawi",Households with at least one child less than 5 years of age,Social marketing of ITNs (PSI),"Behavioral factors: Bednet ownership was low
(20.5% of households)

Behaviors:Only 3.3% of rural children under 5 had slept under a net the previous night, compared
with 24.0% of urban children

Health: rural children under 5 in households without nets experienced a statistically significant higher prevalence of malaria parasitaemia [RR  4.9] than children in households with at least one bednet",Observational,Probability,4,"6: Behavior, Customer Orientation, Insight, Exchange, Segmentation, Methods mix"
