title,link,authors,journal,location,population,intervention,outcomes-bf,outcomes-behavior,outcomes-health,design,sampling,soe,smbc
"Assessment of the scale, coverage and outcomes of the Avahan HIV prevention program for female sex workers in Tamil Nadu, India: Is there evidence of an effect?",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3287556/,"Thilakavathi S, Boopathi K, Girish Kumar CP, Santhakumar A, Senthilkumar R, Eswaramurthy C, Ilaya Bharathy V, Ramakrishnan L, Thongamba G, Adhikary R, Paranjape R","BMC Public Health, 2011, 11(Suppl 6): S3","Tamil Nadu, India",FSW,"Condom social marketing; peer-based outreach education, promotion and distributionof condoms, establishing program-linked clinics to manage sexually transmitted infections (STIs) and community mobilization",Quality of care,Condom use,Decrease in HIV and STI prevalence,Observational,Probability,4,"5: Behavior, Customer orientation, Insight, Segmentation, Methods mix"
Brand equity and willingness to pay for condoms in Zimbabwe,http://www.reproductive-health-journal.com/content/8/1/29,"Evans WD, Taruberekera N","Reproductive Health, 2011, 8(29): 1-8",Zimbabwe,Sexually active men 15-49,Condom social marketing,Willingness to pay and brand equity,,,Observational,Probability,3,"7: Customer orientation, Insight, Theory, Exchange, Competition, Segmentation, Methods mix"
HIV prevention for migrants in transit: Developing and testing TRAIN,http://www.ncbi.nlm.nih.gov/pubmed/21696244,"Bahromov M, Weine S","AIDS Education and Prevention, 2011, 23(3): 267-280",Russia,Tajik male labor migrants,HIV education & awareness,Changes in knowledge and worry about HIV/AIDS,Improvements in condom use and  discussion with partner about HIV/AIDS,,Experimental,Purposive,5,"5: Behavior, Customer orientation, Theory, Insight, Segmentation"
Increasing safer sexual behavior among Lao kathoy through an integrated social marketing approach,http://www.biomedcentral.com/1471-2458/11/872,"Longfield K, Panyanouvong X, Chen J, Kays MB","BMC Public Health, 2011, 11(872): 1-12",Laos,Male to female transgender & partners,Peer led IPC; condom/lube social marketing,Improved perceptions of product availability for condoms and water-based lubricant and knowledge about the importance of consistent condom use,Higher levels of condom use at last anal sex with casual partners and greater use of water-based lubricant,,Observational,Probability,4,"7: Behavior, Customer orientation, Theory, Insight, Competition, Segmentation, Method mix"
"Knowledge, stigma, and behavioral outcomes among antiretroviral therapy patients exposed to Nalamdana's radio and theater program in Tamil Nadu, India",http://www.ncbi.nlm.nih.gov/pubmed/21861609,"Nambiar D, Ramakrishnan V, Kumar P, Varma R, Balaji N, Rajendran J, Jhona L, Chandrasekar C, Gere D","AIDS Education and Prevention, 2011, 23(4): 351-366","Tamil Nadu, India",ARV patients,Radio-and-theater-based educational program,Higher HIV-related knowledge and lower levels of stigma,"Over four times the adjusted odds of asking doctors questions about HIV; greater odds of consistent condom use;  doctor-patient communication , peer advice giving and HIV-related advocacy",,Quasi-experimental,Probability,5,"5: Behavior, Theory, Custormer orientation, Insight, Segmentation"
The use of participatory action research to create a positive youth development program,http://smq.sagepub.com/content/17/3/2.abstract,"Hamby A, Pierce M, Daniloski K, Brinberg D","Social Marketing Quarterly, 2011, 17(3): 2",South Africa,Youth,"Youth risk-reduction curriculum targeting four risk-related areas (HIV/AIDS, alcohol abuse, conflict resolution, and peer pressure)",HIV knowledge and condom attitudes,,,Quasi-experimental,Purposive,2,"5: Customer orientation, Insight, Theory, Segmentation, Methods mix"
Lot quality assurance sampling for monitoring coverage and quality of a targeted condom social marketing programme in traditional and non-traditional outlet,http://sti.bmj.com/content/86/Suppl_1/i56.full,"Piot B, Mukherjee A, Navin D, Krishnan N, Bhardwaj A, Sharma V, Marjara P","Sexually Transmitted Infections, 2010, 86(suppl 1): i56-i61",India,FSW,Condom social marketing,"Condom coverage, quality of coverage, sales volumes",,,Observational,Probability,2,"4: Customer orientation, Insight, Segmentation, Methods mix"
Applying social marketing principles to understand the effects of the radio diaries program in reducing HIV/AIDS stigma in Malawi,http://www.ncbi.nlm.nih.gov/pubmed/18935882,"Rimal RN, Creel AH","Health Marketing Quarterly, 2008, 25(1-2): 119-46",Malawi,Male and female adolescents 12-21 years old,Radio campaign,"Stigma reduction, knowledge, self-efficacy, perceived risk",,,Quasi-experimental ,Probability,4,"5: Customer orientation, Insight, Theory, Segmentation, Methods mix"
Evaluation of a needle social marketing strategy to control HIV among injecting drug users in China,http://www.ncbi.nlm.nih.gov/pubmed/18172379,"Wu Z, Luo W, Sullivan SG, Rou K, Lin P, Liu W, Ming Z","AIDS, 2007, Suppl 8:S115-22",China,IDU,Needle  social  marketing,Exposure to  intervention and coverage levels,Needle  sharing and condom use with sexual partners,HIV incidence/prevalence and HCV incidence,Experimental,Probability,5,"5: Behavior, Customer orientation, Insight, Segmentation, Methods mix"
"MTV's ""Staying Alive"" global campaign promoted interpersonal communication about HIV and positive beliefs about HIV prevention",http://www.ncbi.nlm.nih.gov/pubmed/17411389,"Geary CW, Burke HM, Castelnau L, Neupane S, Sall YB, Wong E, Tucker HT","AIDS Education and Prevention, 2007, 19(1): 51-67","Kathmandu, Nepal; São Paulo, Brazil; Dakar, Senegal",16-25 year olds,Media campaign,Beliefs and attitudes,Communication about HIV,,Quasi-experimental,Probability,4,"3: Behavior, Customer orientation, Theory"
Assessing effects of a media campaign on HIV/AIDS awareness and prevention in Nigeria: Results from the VISION Project,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1508144/,"Keating J , Meekers D, Adewuyi A","BMC Public Health, 2006, 6(123): 1-12",Nigeria,Adults,Media Campaign,Awareness that consistent condom use reduces HIV risk,Changes in discussion of HIV/AIDS with a partner and condom use at last intercourse,,Quasi-experimental,Probability,5,"2: Behavior, Customer orientation"
"Communicating HIV and AIDS, what works? A report on the impact evaluation of Soul City's fourth series",http://www.ncbi.nlm.nih.gov/pubmed/16199389,"Goldstein S, Usdin S, Scheepers E, Japhet G","Journal of Health Communication, 2005, 10(5): 465-83",South Africa,Households,Television and radio drama and print material,"Knowledge, risk perception, attitudes",,,Observational,Probability,2,"2: Theory, Customer orientation"
The effectiveness of media use in health education: Evaluation of an HIV/AIDS radio [corrected] campaign in Ethiopia,http://www.ncbi.nlm.nih.gov/pubmed/16036730,"Farr AC, Witte K, Jarato K, Menard T","Journal of Health Communication, 2005, 10(3): 225-235","Addis Ababa, Ethiopia",18–30 year-old,Radio campaign,Listenership and recall; intent to change health related behaviors,,,Observational,Probability,2,"2: Theory, Customer orientation"
Promoting behavior change in Botswana: An assessment of the Peer Education HIV/AIDS Prevention Program at the workplace,http://www.ncbi.nlm.nih.gov/pubmed/12857655,Hope RK,"Journal of Health Communication, 2003, 8(3): 267-81.",Botswana,Males  in the  workplace,Peer education,Knowledge and attitudes,Condom use and number of  sexual partners,,Observational,Probability,2,"5: Behavior, Theory, Customer orientation, Insight, Segmentation"
Social marketing of pre-packaged treatment for men with urethral discharge (Clear Seven) in Uganda,http://std.sagepub.com/content/14/3/216.full.pdf,"Jacobs B, Kambugu FSK, Whitworth JAG, Ochwo M, Pool R, Lwanga A, Tifft S, Lule J, Cutler JR","International Journal of  STD & AIDS, 2003, 14: 216-221",Uganda,Men with urethral discharge,Social marketing of pre-packaged treatment for men with urethral discharge (Clear Seven),Attitudes,Treatment compliance and condom use,Cure rate,Quasi-experimental,Purposive,3,"6: Behavior, Customer orientation, Insight, Exchange, Segmentation, Methods mix"
"The impact of a mass media campaign on personal risk perception, perceived self-efficacy and on other behavioural predictors",http://www.ncbi.nlm.nih.gov/pubmed/14617497,Agha S,"AIDS Care, 2003, 15(6): 749-762",Kenya,Sexually experienced males and females aged 15-39,AIDS prevention mass media campaign,"Self-efficacy, risk perception, perceived availability",,,Observational,Probability,3,"7: Theory, Customer orientation, Insight, Exchange, Competition, Segmentation, Methods mix"
"A quasi-experimental study to assess the impact of four
adolescent sexual health interventions in Sub-Saharan Africa",http://www.guttmacher.org/pubs/journals/2806702.pdf,Agha S,"International Family Planning Perspectives, 2002, 28(2): 67-70 & 113-118",Sub-Saharan  Africa,Adolescents,Condom social  marketing,Risk perception and self-efficacy,"Condom use, multiple partnership, contraceptive use",,Quasi-experimental,Probability,5,"6: Behavior, Customer orientation, Theory, Insight, Segmentation, Methods mix"
The promotion of condom use in non-regular sexual partnerships in urban Mozambique,http://heapol.oxfordjournals.org/content/16/2/144.long,"Agha S, Karlyn A, Meekers D","Health Policy and Planning, 2001, 16(2): 144-151",Mozambique,Men/woman 15-49,Condom social  marketing,Knowledge and access,Condom use with non regular partners,,Observational,Probability,4,"6: Behavior, Customer  orientation, Insight, Exchange, Segmentation, Methods mix"
The impact of a targeted radio campaign to prevent STIs and HIV/AIDS in Mozambique,http://www.ncbi.nlm.nih.gov/pubmed/11718443,Karlyn A,"AIDS Education and Prevention, 2001, 13(5): 438-35",Mozambique,15-49 year olds,Radio campaign,"Exposure to intervention and behavior change intent, attempt, and success",,,Observational,Probability,4,"6: Customer orientation, Insight, Exchange, Theory, Segmentation, Methods mix"
Target audience reach of the 'SIDA dans la Cite' AIDS prevention television series in Cote d'Ivoire,http://smq.sagepub.com/content/6/4/21,"Shapiro D, Meekers D","Social Marketing Quarterly, 2000, 6(4): 21-30",Côte d’Ivoire,Households,Television series,"Exposure to  programming, AIDS knowledge, and type of last sexual partner",,,Observational,Probability,3,"4: Customer orientation, Insight, Segmentation, Methods mix"
