title,link,authors,journal,location,population,intervention,outcomes-bf,outcomes-behavior,outcomes-health,design,sampling,soe,smbc
"Access to artemisinin-based anti-malarial
treatment and its related factors in rural Tanzania",http://www.malariajournal.com/content/12/1/155,"Khatib RA, Selemani M, Mrisho GA, Masanja IM, Amuri M, Njozi MH, Kajungu D, Kuepfer I, Abdulla SM, de Savigny D","Malaria Journal, 2013, 12(155): 1-8",Kilombero-Ulanga and Rufiji Districts in Tanzania,Rolling household surveys from 2009-2011,Social marketing of ACTs and private and accredited drug dispensing outlets (ADDOs) were implemented in certain districts,No significance  difference in 24 hour access to ACT outlets for households experiencing fever between a district with ADDOs plus  social marketing and one without.,,,Quasi-experimental,Probability,4,0
Narrowing the treatment gap with equitable access: Mid-term outcomes of a community case management program in Cameroon,http://heapol.oxfordjournals.org/cgi/pmidlookup?view=long&pmid=23144228,"Littrell M, Moukam LV, Libite R, Youmba JC, Baugh G","Health Policy and Planning, 2013, 28 (7): 705-716",East region of Cameroon,Households with children under 5,"Community case management for childhood ilnesses. CCM package provided
community-based diagnosis, treatment and referral for suspected
malaria with artemisinin combination therapy (ACT)
and diarrheal disease with ORS and zinc through community health workers (PSI)","Awareness, access and attitudes towards CHW
services among caregivers improved with intervention","Children living in intervention vs comparison
areas were significantly more likely to receive treatment
at a public health facility or through a CHW for fever  and diarrhoea

Appropriate treatment was significantly higher among children
in intervention vs comparison areas including: antimalarial
treatment for fever , ACT
for fever , ORS for
diarrhoea and zinc for
diarrhoea",,Quasi-experimental,Purposive,4,"1: Behavior, Method mix"
"Improvements in access to malaria treatment in Tanzania following community, retail sector and health facility interventions: A user perspective",http://www.malariajournal.com/content/9/1/163/,"Alba S, Dillip A, Hetzel MW, Mayumana I, Mshana C, Makemba A, Alexander M, Obrist B, Schulze A, Kessy F, Mshinda H, Lengeler C","Malaria Journal,2010, 9(163): 1-16","Ifakara, Tanzania",Treatment-seeking survey of people who had suffered a fever case in  the previous 14 days,Social marketing for improved treatment seeking,"Improvements in understanding causes of malaria (from 62% to 84%); higher treatment coverage
with anti-malarials (86% to 96%)",Increases in health facility attendance as first treatment option for patients older than five years (27% to 52%);  more timely use of anti-malarials (80% to 93-97% treatments taken within 24 hrs).,,Observational,Probability,4,"3: Behavior, Segmentation, Methods mix"
"Household ownership and use of insecticide treated nets among target groups after implementation of a national voucher programme in the United Republic of Tanzania:
Plausibility study using three annual cross sectional household surveys",http://www.bmj.com/content/339/bmj.b2434,"Hanson K, Marchant T, Nathan R, Mponda H, Jones C, Bruce J, Mshinda H, Schellenberg JA","British Medical Journal, 2009, 339: 1-10",Tanzania,Household survey,Social marketing combined with the National Voucher Scheme targeting mothers of young children at antenatal clinics,ITN ownership increased from 18% to 36%,"Among infants under 1 year of age, use of an ITN increased from 16% to 34%",,Observational,Probability,4,"3: Exchange, Segmentation, Methods mix"
"Distribution systems of insecticide-treated bed nets for
malaria control in rural Burkina Faso: Cluster-
randomized controlled trial",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2527521/,"Müller O, De Allegri M, Becher H, Tiendrebogo J, Beiersmann C, Ye M, Kouyate B, Sie A, Jahn A","PLoS ONE, 2008, 3(9): e3182",Burkina Faso,Households,Subsidized ITN distribution through social marketing with or without free ITN distribution (free distribution took place through antenatal clinics),ITN ownership increased in SM with free distribution areas more than in SM only areas from  baseline  to  follow-up,Increases in Bednet use in previous night was similarly higher in both groups from baseline to follow-up; use among pregnant women and children under five increased in SM with free distribution from   44% to 50% and in SM only from 37% to 44%.,,Experimental,Probability,6,"3: Behavior, Segmentation, Methods Mix"
"Health microinsurance, social marketing, and
disease prevention: Perspectives from the field",http://www.tandfonline.com/doi/abs/10.1080/01900690701226935#.UtBtqtJDtQg,"McCord J,  Rivers K","Intl Journal of Public Administration, 2007, 30: 791–812", Kisiizi and Ishaka in southwestern Uganda,Microinsurance organization clients over the age  of 18,Comparison of health microinsurance organization clients who only had basic health education  verus those exposed to social marketing of SmartNet ITN,"knowledge, perceptions, barriers, sources of information; perceptions of ITNs were  more positive and rates  of ownership were higher among those exposed to social marketing",,,Observational,Purposive,1,"4: Behavior, Customer orientation, Theory, Method mix"
"The impact of a hybrid social marketing intervention on inequities in access, ownership and use of insecticide-treated nets",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1794246/,"Agha S, Van Rossem R, Stallworthy G, Kusanthan T","Malaria Journal, 2007, 6(13): 1-11","Eastern Province, Zambia",Household survey of men and women ages 15-49,"ITN subsidy  and social marketing intervention  to increase knowledge,  access, and use of ITNs as part of the  Roll Back Malaria Campain. Distribution was through public health facilities.","Knowledge of malaria and ITNs, access to ITNs, beliefs about malaria protection, ownership (number of ITNs in  the household)",Usage of  ITNs (respondent usually sleeps under a net),,Quasi-experimental,Probability,5,"7: Customer orientation, Behavior, Insight, Exchange, Competition, Segmentation, Methods  mix"
Lessons learned from bednet distribution in Central Mozambique,http://heapol.oxfordjournals.org/content/22/2/103.long,Brentlinger PE,"Health Policy Plan, 2007, 22(2):103-10","Sofala and Manica, Central Mozambique",Household survey,Commericial shopkeepers and community leaders were trained to  promote and sell ITNs in 19 sites between 2000-2004,ITN ownership;,,,Observational,Probability,3,"2:Exchange, Methods mix"
"Sustained high coverage of insecticide-treated bednets through
combined catch-up and keep-up strategies",http://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2007.01862.x/abstract,"Grabowsky M, Nobiya T, Selanikio J","Tropical Medicine and International Health, 2007, 12(7): 815–822",Ghana,Households with at least one child less than 5 years of age,"Mass, free distribution (Catch-up) of insecticide-treated bednets (ITNs) during measles
vaccination campaigns, followed by antenatal clinic-based social marketing for routine Keep-up on ITN coverage and use","95.7% of children slept in a household that had a net, 86.1% slept in a household that had a campaign
net",59.6% of children slept under an ITN,,Observational,Probability,4,"4: Behavior, Exchange, Segmentation, Method mix"
"Comparison of coverage with insecticide-treated nets in a
Tanzanian town and villages where nets and insecticide are either marketed or provided free of charge",http://www.malariajournal.com/content/5/1/44/,"Maxwell CA, Rwegoshora RT,  Magesa SM, Curtis CF","Malaria Journal, 2006, 5(44): 1-6",Northeast Tanzania,Household survey of men and women,Social marketing of ITNs and insecticide,"% of households that purchased a net, % of households with  intact treated nexts",% of households reporting usage in urban and rural areas that had social marketing were compared to areas with free distribution,,Observational,Purposive,2,0
